pid1,heard_god,heard_god_relig,heard_god_home,heard_god_media,heard_god_other,heard_god_irrelevant,talk_god,talk_god_relig,talk_god_family,talk_god_teacher,talk_god_friend,talk_god_self,talk_god_idk,know_location,know_properties,know_action_creation,know_action_intervention,know_action_other,know_idk,know_uncodable,inter_ppl_prayers,inter_ppl_miracles,inter_ppl_healing,inter_ppl_helping,inter_ppl_control,inter_ppl_moral,inter_ppl_judgement,inter_ppl_misc,inter_nature,inter_unspecified,inter_no,inter_idk,inter_uncodable,godhappen_yes,godhappen_sometimes,godhappen_maybe,godhappen_idk,godhappen_no,godearth_yes,godearth_sometimes,godearth_maybe,godearth_idk1,godearth_no1,godearth_prayers,godearth_miracles,godearth_healing,godearth_helping,godearth_control,godearth_moral,godearth_judgement,godearth_misc,godearth_nature,godearth_unspecified,godearth_no2,godearth_idk2,godearth_uncodable,godlives_yes,godlives_sometimes,godlives_maybe,godlives_no1,godlives_idk1,godlives_prayers,godlives_miracles,godlives_healing,godlives_helping,godlives_control,godlives_moral,godlives_judgement,godlives_misc,godlives_nature,godlives_unspecified,godlives_no2,godlives_idk2,godlives_uncodable,ownlife_yes,ownlife_sometimes,ownlife_maybe,ownlife_no1,ownlife_idk1,ownlife_prayers,ownlife_miracles,ownlife_healing,ownlife_helping,ownlife_control,ownlife_moral,ownlife_judgement,ownlife_misc,ownlife_nature,ownlife_unspecified,ownlife_no2,ownlife_idk2,ownlife_uncodable,godhappen_own,godhappen_ask,godhappen_both,godhappen_uncodable,godhappen_howask_praying,godhappen_howask_other,godhappen_howask_idk,godhappen_howask_uncodable,godhappen_howdecide_impact,godhappen_howdecide_choice,godhappen_howdecide_moral,godhappen_howdecide_misc,godhappen_howdecide_idk,godhappen_howdecide_uncodable,pray_mean,pray_togod,pray_about_thanks,pray_about_thing,pray_about_social,pray_about_perform,pray_about_wellbeing,pray_about_psych,pray_about_healing,pray_about_ritual,pray_about_idk,pray_about_uncodable,pray_for_yes,pray_for_no,pray_for_idk,gotpray_yes,gotpray_sometimes,gotpray_no,gotpray_idk,gotpray_blank,prayertime_all,prayertime_some,prayertime_never,prayertime_idk,prayertime_uncodable,praytrue_someonething,praytrue_own,praytrue_both,praytrue_idk,praytrue_god,praytrue_people,praytrue_other,overall
1,0.391,0.956,0.977,0.653,0.881,0.847,0.887,0.807,0.878,0.837,0.89,0.844,0.774,0.685,0.557,0.936,0.679,0.296,0.735,-0.0097,0.786,1,0.742,0.794,0.564,0.489,0.853,0.796,0.722,0.475,0.584,0.947,0.196,0.843,0.599,0.716,0.885,0.88,0.944,0.801,0.787,0.937,0.748,0.871,0.864,0.741,0.784,0.658,0.734,0.796,0.755,0.826,0.676,0.547,0.805,0.604,0.948,0.947,0.853,0.928,1,0.892,0.907,0.838,0.67,0.68,0.82,0.867,0.734,0.871,0.758,0.851,0.896,0.834,0.913,0.716,0.742,1,0.936,0.829,0.866,0.917,0.772,0.768,0.91,0.976,0.954,0.922,0.954,0.976,0.98,0.914,0.865,0.907,0.922,0.596,0.918,0.898,1,1,0.832,0.713,0.853,0.807,0.98,0.831,0.962,0.962,0.894,0.764,0.779,0.913,0.711,0.782,0.819,0.754,0.884,0.535,0.674,0.676,0.618,0.834,0.773,0.604,0.442,0.864,0.913,0.911,0.598,0.884,0.625,0.606,0.722,0.12,0.239,0.311,0.0549,0.0175,0.769465468
121,yes,1,0,0,0,0,yes,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,yes,yes,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,,1,0,1,
123,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,yes,yes,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,1,1,0,
126,yes,1,0,0,1,0,yes,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,yes,yes,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
127,yes,0,0,1,1,0,no,na,na,na,na,na,na,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,1,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,yes,no,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,1,0,1,0,0,0,0,1,0,0,na,na,na,
128,yes,1,0,0,0,0,yes,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,yes,yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,
130,yes,0,0,0,0,1,no,na,na,na,na,na,na,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na, na,0,0,1,0,1,0,0,0,na,na,na,na,na,na,yes,yes,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,
132,yes,1,0,0,0,0,yes,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,yes,yes,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
134,yes,1,1,0,0,0,yes,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,yes,yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
135,no,na,na,na,na,na,no,na,na,na,na,na,na,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,0,0,0,na,na,na,na,0,0,0,0,1,0,yes,yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,na,na,na,na,na,na,na,
